account,indicator,region,sector,value,share_of_region_total,rank,unit,definition
CBA,economic_importance,SE,Other waste for treatment: waste water treatment,0.0,0.0,163,M.EUR,factor_inputs
CBA,economic_importance,SE,Oil/hazardous waste for treatment: incineration,0.0,0.0,164,M.EUR,factor_inputs
CBA,economic_importance,SE,Manure (biogas treatment),0.0,0.0,165,M.EUR,factor_inputs
CBA,economic_importance,SE,Manure (conventional treatment),0.0,0.0,166,M.EUR,factor_inputs
CBA,economic_importance,SE,"Natural gas and services related to natural gas extraction, excluding surveying",0.0,0.0,167,M.EUR,factor_inputs
CBA,economic_importance,SE,Non-specified Petroleum Products,0.0,0.0,168,M.EUR,factor_inputs
CBA,economic_importance,SE,Plastic waste for treatment: incineration,0.0,0.0,169,M.EUR,factor_inputs
CBA,economic_importance,SE,Plastic waste for treatment: landfill,0.0,0.0,170,M.EUR,factor_inputs
CBA,economic_importance,SE,Peat,0.0,0.0,171,M.EUR,factor_inputs
CBA,economic_importance,SE,Paper waste for treatment: biogasification and land application,0.0,0.0,172,M.EUR,factor_inputs
CBA,economic_importance,SE,Paper for treatment: landfill,0.0,0.0,173,M.EUR,factor_inputs
CBA,economic_importance,SE,Paper and wood waste for treatment: composting and land application,0.0,0.0,174,M.EUR,factor_inputs
CBA,economic_importance,SE,Paper waste for treatment: incineration,0.0,0.0,175,M.EUR,factor_inputs
CBA,economic_importance,SE,Oxygen Steel Furnace Gas,0.0,0.0,176,M.EUR,factor_inputs
CBA,economic_importance,SE,Other Hydrocarbons,0.0,0.0,177,M.EUR,factor_inputs
CBA,economic_importance,SE,Other Liquid Biofuels,0.0,0.0,178,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0,0.0,179,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0,0.0,180,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0,0.0,181,M.EUR,factor_inputs
CBA,economic_importance,SE,Refinery Gas,0.0,0.0,182,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0,0.0,183,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0,0.0,184,M.EUR,factor_inputs
CBA,economic_importance,SE,Textiles waste for treatment: incineration,0.0,0.0,185,M.EUR,factor_inputs
CBA,economic_importance,SE,Steam and hot water supply services,0.0,0.0,186,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0,0.0,187,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0,0.0,188,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0,0.0,189,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0,0.0,190,M.EUR,factor_inputs
CBA,economic_importance,SE,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0,0.0,191,M.EUR,factor_inputs
CBA,economic_importance,SE,Sewage sludge for treatment: biogasification and land application,0.0,0.0,192,M.EUR,factor_inputs
CBA,economic_importance,SE,Uranium and thorium ores (12),0.0,0.0,193,M.EUR,factor_inputs
CBA,economic_importance,SE,Textiles waste for treatment: landfill,0.0,0.0,194,M.EUR,factor_inputs
CBA,economic_importance,SE,Transmission services of electricity,0.0,0.0,195,M.EUR,factor_inputs
CBA,economic_importance,SE,Transportation services via pipelines,0.0,0.0,196,M.EUR,factor_inputs
CBA,economic_importance,SE,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0,0.0,197,M.EUR,factor_inputs
CBA,economic_importance,SE,White Spirit & SBP,0.0,0.0,198,M.EUR,factor_inputs
