target_region,target_sector,source_country,source_value,source_share,account,indicator,target_sector_value,unit
SE,Steam and hot water supply services,CZ,872199897812.5582,0.020408163265306124,CBA,ghg,4360999489.06278,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),AT,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),AU,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),BE,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),BG,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),BR,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),CA,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),CH,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),CN,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),CY,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Machinery and equipment n.e.c. (29),CZ,18614507778.111267,0.02040816326530612,CBA,ghg,4178177664.55005,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),AT,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),AU,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),BE,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
